id,name,aggregate,longitude,latitude,region,adminregion,lendingType,incomeLevel,capitalCity
ABW,Aruba,False,-70.0167,12.5167,LCN,,LNX,HIC,Oranjestad
AFE,Africa Eastern and Southern,True,,,,,,,
AFG,Afghanistan,False,69.1761,34.5228,SAS,SAS,IDX,LIC,Kabul
AFW,Africa Western and Central,True,,,,,,,
AGO,Angola,False,13.242,-8.81155,SSF,SSA,IBD,LMC,Luanda
ALB,Albania,False,19.8172,41.3317,ECS,ECA,IBD,UMC,Tirane
AND,Andorra,False,1.5218,42.5075,ECS,,LNX,HIC,Andorra la Vella
ARB,Arab World,True,,,,,,,
ARE,United Arab Emirates,False,54.3705,24.4764,MEA,,LNX,HIC,Abu Dhabi
ARG,Argentina,False,-58.4173,-34.6118,LCN,LAC,IBD,UMC,Buenos Aires
ARM,Armenia,False,44.509,40.1596,ECS,ECA,IBD,UMC,Yerevan
ASM,American Samoa,False,-170.691,-14.2846,EAS,EAP,LNX,UMC,Pago Pago
ATG,Antigua and Barbuda,False,-61.8456,17.1175,LCN,,IBD,HIC,Saint John's
AUS,Australia,False,149.129,-35.282,EAS,,LNX,HIC,Canberra
AUT,Austria,False,16.3798,48.2201,ECS,,LNX,HIC,Vienna
AZE,Azerbaijan,False,49.8932,40.3834,ECS,ECA,IBD,UMC,Baku
BDI,Burundi,False,29.3639,-3.3784,SSF,SSA,IDX,LIC,Bujumbura
BEL,Belgium,False,4.36761,50.8371,ECS,,LNX,HIC,Brussels
BEN,Benin,False,2.6323,6.4779,SSF,SSA,IDX,LMC,Porto-Novo
BFA,Burkina Faso,False,-1.53395,12.3605,SSF,SSA,IDX,LIC,Ouagadougou
BGD,Bangladesh,False,90.4113,23.7055,SAS,SAS,IDX,LMC,Dhaka
BGR,Bulgaria,False,23.3238,42.7105,ECS,ECA,IBD,UMC,Sofia
BHR,Bahrain,False,50.5354,26.1921,MEA,,LNX,HIC,Manama
BHS,"Bahamas, The",False,-77.339,25.0661,LCN,,LNX,HIC,Nassau
BIH,Bosnia and Herzegovina,False,18.4214,43.8607,ECS,ECA,IBD,UMC,Sarajevo
BLR,Belarus,False,27.5766,53.9678,ECS,ECA,IBD,UMC,Minsk
BLZ,Belize,False,-88.7713,17.2534,LCN,LAC,IBD,LMC,Belmopan
BMU,Bermuda,False,-64.706,32.3293,NAC,,LNX,HIC,Hamilton
BOL,Bolivia,False,-66.1936,-13.9908,LCN,LAC,IBD,LMC,La Paz
BRA,Brazil,False,-47.9292,-15.7801,LCN,LAC,IBD,UMC,Brasilia
BRB,Barbados,False,-59.6105,13.0935,LCN,,LNX,HIC,Bridgetown
BRN,Brunei Darussalam,False,114.946,4.94199,EAS,,LNX,HIC,Bandar Seri Begawan
BTN,Bhutan,False,89.6177,27.5768,SAS,SAS,IDX,LMC,Thimphu
BWA,Botswana,False,25.9201,-24.6544,SSF,SSA,IBD,UMC,Gaborone
CAF,Central African Republic,False,21.6407,5.63056,SSF,SSA,IDX,LIC,Bangui
CAN,Canada,False,-75.6919,45.4215,NAC,,LNX,HIC,Ottawa
CEB,Central Europe and the Baltics,True,,,,,,,
CHE,Switzerland,False,7.44821,46.948,ECS,,LNX,HIC,Bern
CHI,Channel Islands,False,,,ECS,,LNX,HIC,
CHL,Chile,False,-70.6475,-33.475,LCN,,IBD,HIC,Santiago
CHN,China,False,116.286,40.0495,EAS,EAP,IBD,UMC,Beijing
CIV,Cote d'Ivoire,False,-4.0305,5.332,SSF,SSA,IDX,LMC,Yamoussoukro
CMR,Cameroon,False,11.5174,3.8721,SSF,SSA,IDB,LMC,Yaounde
COD,"Congo, Dem. Rep.",False,15.3222,-4.325,SSF,SSA,IDX,LIC,Kinshasa
COG,"Congo, Rep.",False,15.2662,-4.2767,SSF,SSA,IDB,LMC,Brazzaville
COL,Colombia,False,-74.082,4.60987,LCN,LAC,IBD,UMC,Bogota
COM,Comoros,False,43.2418,-11.6986,SSF,SSA,IDX,LMC,Moroni
CPV,Cabo Verde,False,-23.5087,14.9218,SSF,SSA,IDB,LMC,Praia
CRI,Costa Rica,False,-84.0089,9.63701,LCN,LAC,IBD,UMC,San Jose
CSS,Caribbean small states,True,,,,,,,
CUB,Cuba,False,-82.3667,23.1333,LCN,LAC,LNX,UMC,Havana
CUW,Curacao,False,,,LCN,,LNX,HIC,Willemstad
CYM,Cayman Islands,False,-81.3857,19.3022,LCN,,LNX,HIC,George Town
CYP,Cyprus,False,33.3736,35.1676,ECS,,LNX,HIC,Nicosia
CZE,Czech Republic,False,14.4205,50.0878,ECS,,LNX,HIC,Prague
DEU,Germany,False,13.4115,52.5235,ECS,,LNX,HIC,Berlin
DJI,Djibouti,False,43.1425,11.5806,MEA,MNA,IDX,LMC,Djibouti
DMA,Dominica,False,-61.39,15.2976,LCN,LAC,IDB,UMC,Roseau
DNK,Denmark,False,12.5681,55.6763,ECS,,LNX,HIC,Copenhagen
